2017-02-03, 11:45:48, 88000000, 90571428, 80357.12, 6144, -4.35, -3.11, -1.18, -0.52, -2.12, -1.39, 1.69, 1.35, 4.16, 11.79, 23.63, 8.29, 3.22, 2.26, 4.38, -1.19, 6.57, 6.57, 4.30, -2.47, -3.29, -2.73, -3.32, -4.03, -3.84, -2.86, -3.32, -3.91, -3.79, -2.88, -2.94, -4.67, -4.67
2017-02-03, 11:45:48, 90571428, 93142856, 80357.12, 6144, -0.70, 3.03, -1.45, 0.24, 4.43, 16.81, 9.81, 4.67, -0.33, 4.30, -3.06, -3.39, -0.76, 0.81, -3.14, -4.79, -4.82, -4.82, -5.35, -5.57, -5.82, -5.61, -5.58, -5.24, -3.08, -0.53, -1.63, -3.30, -4.87, -3.88, -4.51, 2.85, 2.85
2017-02-03, 11:45:48, 93142856, 95714284, 80357.12, 6144, 9.38, 14.76, 2.98, 0.01, 2.71, 1.63, -1.11, 0.93, -2.59, -4.24, -4.88, -5.00, -5.57, -5.70, -4.60, -4.76, -4.64, -4.64, -2.51, -2.38, -2.12, 2.30, 11.21, 0.12, 2.03, 0.53, 8.77, 3.00, 7.64, -0.16, -0.65, 1.30, 1.30
2017-02-03, 11:45:48, 95714284, 98285712, 80357.12, 6144, -7.54, -2.21, 0.60, -1.21, -2.67, 1.35, -3.34, -3.89, 0.66, 5.39, 0.07, -3.45, -3.74, -3.00, 3.81, 6.86, 0.67, 0.67, -1.94, 4.05, 8.69, -0.80, -2.43, -0.92, -2.77, -3.43, -2.64, -2.66, -4.68, -5.86, -6.21, -7.41, -7.41
2017-02-03, 11:45:48, 98285712, 100857140, 80357.12, 6144, 2.35, 4.49, 14.31, 16.87, 6.17, 2.89, 2.55, 2.04, 1.94, 4.13, 5.13, 2.47, 1.28, 2.07, 3.33, 2.43, 3.84, 3.84, 4.18, 1.17, 1.86, 7.84, 7.00, 3.78, 1.63, 1.36, 1.48, 3.43, 10.13, 14.88, 4.27, 2.14, 2.14
2017-02-03, 11:45:48, 100857140, 103428568, 80357.12, 6144, -3.05, -7.66, -6.88, -5.15, -4.04, -3.16, -2.36, -3.07, -2.51, -1.22, -0.61, -1.66, -3.48, -3.66, -4.32, -2.11, 5.42, 5.42, 3.52, -1.76, -5.36, -5.63, -5.31, -6.57, -7.23, -7.31, -6.37, -3.72, 4.28, 4.03, 3.69, 0.90, 0.90
2017-02-03, 11:45:48, 103428568, 105999996, 80357.12, 6144, 4.50, 4.14, 4.56, 4.49, 4.09, 4.37, 5.12, 5.95, 6.25, 5.86, 5.81, 6.56, 6.55, 6.14, 5.66, 6.24, 12.74, 12.74, 22.04, 19.97, 9.58, 7.30, 6.28, 5.62, 5.76, 5.22, 4.53, 4.66, 4.17, 7.07, 7.25, 4.35, 4.35
2017-02-03, 11:45:58, 88000000, 90571428, 80357.12, 6144, -4.46, -3.21, -0.95, -0.94, -2.13, -1.53, 1.67, 1.13, 4.03, 12.17, 23.59, 8.70, 3.13, 2.12, 4.48, -1.26, 6.14, 6.14, 5.49, -2.02, -3.27, -2.60, -3.28, -4.04, -4.03, -2.89, -3.24, -4.00, -3.76, -2.56, -2.96, -4.84, -4.84
2017-02-03, 11:45:58, 90571428, 93142856, 80357.12, 6144, -0.65, 2.89, -1.79, -0.29, 3.96, 16.51, 9.45, 4.37, -0.69, 3.96, -3.19, -3.72, -0.86, 1.00, -3.23, -5.00, -4.81, -4.81, -5.39, -5.60, -5.66, -5.67, -5.65, -5.33, -3.28, -0.25, -1.30, -3.59, -5.10, -3.88, -4.65, 2.45, 2.45
2017-02-03, 11:45:58, 93142856, 95714284, 80357.12, 6144, 9.45, 14.72, 2.99, 0.03, 2.45, 1.18, -1.01, 1.33, -2.62, -4.32, -4.98, -5.02, -5.55, -5.64, -4.73, -4.68, -4.53, -4.53, -2.52, -2.76, -1.94, 2.21, 11.85, 0.43, 1.76, 0.51, 8.84, 2.76, 7.43, -0.41, -0.66, 1.44, 1.44
